Time	U1	Uc1	I2	U2
0.031600	-8.400000	-8.929365	-0.001876	-0.178048
0.031700	-8.300000	-8.895863	-0.001868	-0.185250
0.031800	-8.200000	-8.858044	-0.001860	-0.192420
0.031900	-8.100000	-8.816186	-0.001851	-0.199555
0.032000	-8.000000	-8.770547	-0.001841	-0.206654
0.032100	-7.900000	-8.721372	-0.001830	-0.213714
0.032200	-7.800000	-8.668888	-0.001819	-0.220733
0.032300	-7.700000	-8.613307	-0.001808	-0.227709
0.032400	-7.600000	-8.554830	-0.001796	-0.234640
0.032500	-7.500000	-8.493641	-0.001784	-0.241524
0.032600	-7.400000	-8.429917	-0.001771	-0.248361
0.032700	-7.300000	-8.363819	-0.001758	-0.255147
0.032800	-7.200000	-8.295500	-0.001744	-0.261882
0.032900	-7.100000	-8.225104	-0.001731	-0.268565
0.033000	-7.000000	-8.152764	-0.001716	-0.275194
0.033100	-6.900000	-8.078604	-0.001702	-0.281767
0.033200	-6.800000	-8.002743	-0.001687	-0.288284
0.033300	-6.700000	-7.925289	-0.001672	-0.294744
0.033400	-6.600000	-7.846344	-0.001657	-0.301145
0.033500	-6.500000	-7.766005	-0.001641	-0.307486
0.033600	-6.400000	-7.684361	-0.001625	-0.313767
0.033700	-6.300000	-7.601496	-0.001609	-0.319986
0.033800	-6.200000	-7.517488	-0.001593	-0.326143
0.033900	-6.100000	-7.432411	-0.001576	-0.332237
0.034000	-6.000000	-7.346334	-0.001559	-0.338267
0.034100	-5.900000	-7.259321	-0.001543	-0.344233
0.034200	-5.800000	-7.171432	-0.001525	-0.350133
0.034300	-5.700000	-7.082723	-0.001508	-0.355967
0.034400	-5.600000	-6.993247	-0.001491	-0.361734
0.034500	-5.500000	-6.903053	-0.001473	-0.367434
0.034600	-5.400000	-6.812188	-0.001456	-0.373066
0.034700	-5.300000	-6.720694	-0.001438	-0.378630
0.034800	-5.200000	-6.628611	-0.001420	-0.384125
0.034900	-5.100000	-6.535978	-0.001402	-0.389550
0.035000	-5.000000	-6.442830	-0.001383	-0.394906
0.035100	-4.900000	-6.349200	-0.001365	-0.400191
0.035200	-4.800000	-6.255119	-0.001346	-0.405405
0.035300	-4.700000	-6.160615	-0.001328	-0.410548
0.035400	-4.600000	-6.065717	-0.001309	-0.415620
0.035500	-4.500000	-5.970448	-0.001290	-0.420619
0.035600	-4.400000	-5.874834	-0.001272	-0.425546
0.035700	-4.300000	-5.778895	-0.001253	-0.430400
0.035800	-4.200000	-5.682653	-0.001234	-0.435182
0.035900	-4.100000	-5.586128	-0.001214	-0.439889
0.036000	-4.000000	-5.489337	-0.001195	-0.444523
0.036100	-3.900000	-5.392297	-0.001176	-0.449083
0.036200	-3.800000	-5.295025	-0.001157	-0.453569
0.036300	-3.700000	-5.197535	-0.001137	-0.457980
0.036400	-3.600000	-5.099841	-0.001118	-0.462316
0.036500	-3.500000	-5.001957	-0.001098	-0.466577
